Interest Code,Job Zone,Code,Occupation,Featured
CE,4,13-2041.00,Credit Analysts,
CI,4,15-1242.00,Database Administrators,Y
C,4,15-1299.03,Document Management Specialists,Y
CIR,4,13-1041.01,Environmental Compliance Inspectors,Y
CIR,4,15-1212.00,Information Security Analysts,Y
CEI,4,13-2053.00,Insurance Underwriters,
CES,4,13-2072.00,Loan Officers,Y
CEI,4,13-1081.02,Logistics Analysts,Y
CA,4,43-9081.00,Proofreaders and Copy Markers,Y
CE,4,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",
CE,4,13-1041.07,Regulatory Affairs Specialists,Y
CE,4,41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",Y
CSE,4,21-1093.00,Social and Human Service Assistants,Y
CI,4,19-4061.00,Social Science Research Assistants,Y
CI,4,43-9111.00,Statistical Assistants,Y
CE,4,11-3031.01,Treasurers and Controllers,Y
CEI,4,15-1299.01,Web Administrators,Y
ECS,4,11-9111.00,Medical and Health Services Managers,Y
CI,5,25-4011.00,Archivists,Y
CEI,5,23-1012.00,Judicial Law Clerks,Y
CSR,5,25-4022.00,Librarians and Media Collections Specialists,Y
CI,5,15-2041.00,Statisticians,Y
ICR,5,19-1029.01,Bioinformatics Scientists,Y
IC,5,15-2041.01,Biostatisticians,Y
EC,5,11-1011.00,Chief Executives,Y
ECI,5,11-1011.03,Chief Sustainability Officers,Y
EC,5,25-4012.00,Curators,Y
ICE,5,19-3011.00,Economists,Y
ECS,5,11-9033.00,"Education Administrators, Postsecondary",Y
IC,5,13-2099.01,Financial Quantitative Analysts,Y
EC,5,11-3031.03,Investment Fund Managers,Y
ICA,5,15-2021.00,Mathematicians,Y
ICE,5,15-2031.00,Operations Research Analysts,Y
ICS,5,29-1051.00,Pharmacists,Y
ICE,5,19-3022.00,Survey Researchers,Y
SC,5,25-9044.00,"Teaching Assistants, Postsecondary",Y
ESC,5,29-1141.04,Clinical Nurse Specialists,Y
